Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
SP2,25/08/01,Atletico Madrid,Jaen,2,0,H,0,0,D,,,,1.3,4,7,1.44,3.5,7,1.4,3.6,7
SP2,25/08/01,Poli Ejido,Burgos,0,1,A,0,0,D,,,,2,2.9,3,,,,2.1,3.3,2.8
SP2,25/08/01,Elche,Ferrol,0,0,D,0,0,D,,,,2.1,2.8,3,2.2,3,3,2.2,2.75,3.15
SP2,25/08/01,Gimnastic,Racing Santander,0,0,D,0,0,D,,,,2.7,2.9,2.2,,,,,,
SP2,26/08/01,Albacete,Levante,3,0,H,0,0,D,,,,1.65,2.8,4.4,1.8,3.1,4,2,2.8,3.6
SP2,26/08/01,Badajoz,Recreativo Huelva,1,0,H,0,0,D,,,,2.3,2.6,2.8,2.2,2.88,3.1,2.5,2.7,2.75
SP2,26/08/01,Cordoba,Leganes,1,1,D,0,1,A,,,,1.75,2.9,3.8,1.8,3.1,4,1.9,3,3.6
SP2,26/08/01,Murcia,Eibar,0,0,D,0,0,D,,,,1.8,2.8,3.7,1.91,3,3.75,2,2.85,3.5
SP2,26/08/01,Numancia,Salamanca,2,2,D,2,0,H,,,,1.7,2.9,4,1.73,3.2,4.33,1.7,3.1,4.5
SP2,26/08/01,Oviedo,Extremadura,1,1,D,0,0,D,,,,1.65,2.9,4.2,1.67,3.25,4.5,1.65,3.2,4.6
SP2,26/08/01,Xerez,Sporting Gijón,1,0,H,0,0,D,,,,2.6,2.8,2.3,,,,2.55,2.85,2.55
SP2,01/09/01,Eibar,Atletico Madrid,0,3,A,0,2,A,,,,3,2.8,2.1,3.25,2.9,2.1,,,
SP2,01/09/01,Ferrol,Murcia,2,0,H,1,0,H,,,,2.1,2.8,3,2,3,3.4,2.1,2.75,3.4
SP2,02/09/01,Burgos,Gimnastic,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.91,3.1,3.6,1.8,2.9,4.2
SP2,02/09/01,Extremadura,Xerez,0,1,A,0,1,A,,,,1.6,3,4.4,1.62,3.25,5,1.75,2.95,4.5
SP2,02/09/01,Jaen,Poli Ejido,3,1,H,1,0,H,,,,1.6,3,4.4,,,,1.7,3.1,4.4
SP2,02/09/01,Leganes,Elche,0,0,D,0,0,D,,,,1.9,2.8,3.3,1.91,3,3.75,2.1,2.75,3.4
SP2,02/09/01,Levante,Cordoba,3,1,H,2,1,H,,,,1.9,2.8,3.3,1.91,3,3.75,2,2.85,3.5
SP2,02/09/01,Racing Santander,Oviedo,1,1,D,1,0,H,,,,1.85,2.9,3.4,1.91,3.1,3.6,1.9,2.9,3.75
SP2,02/09/01,Recreativo Huelva,Numancia,1,0,H,0,0,D,,,,2.3,2.7,2.7,2.25,2.8,3.1,2.35,2.7,2.95
SP2,02/09/01,Salamanca,Albacete,2,0,H,2,0,H,,,,2,2.8,3.1,2,2.9,3.5,2,2.85,3.5
SP2,02/09/01,Sporting Gijón,Badajoz,3,0,H,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.8,2.9,4.2
